file_id,label,split,snr_db,siren_src,clip_dur_s,wav_path,npy_path
neg_02357.wav,0,train,,,2,clips\negative\neg_02357.wav,features\negative\neg_02357.npy
neg_03347.wav,0,train,,,2,clips\negative\neg_03347.wav,features\negative\neg_03347.npy
neg_06517.wav,0,train,,,2,clips\negative\neg_06517.wav,features\negative\neg_06517.npy
neg_05518.wav,0,train,,,2,clips\negative\neg_05518.wav,features\negative\neg_05518.npy
pos_01714_Siren_7_snr-5dB.wav,1,train,-5.0,Siren_7,2,clips\positive\pos_01714_Siren_7_snr-5dB.wav,features\positive\pos_01714_Siren_7_snr-5dB.npy
pos_04162_Siren_8_snr+5dB.wav,1,train,5.0,Siren_8,2,clips\positive\pos_04162_Siren_8_snr+5dB.wav,features\positive\pos_04162_Siren_8_snr+5dB.npy
neg_01281.wav,0,train,,,2,clips\negative\neg_01281.wav,features\negative\neg_01281.npy
neg_00226.wav,0,train,,,2,clips\negative\neg_00226.wav,features\negative\neg_00226.npy
neg_04665.wav,0,train,,,2,clips\negative\neg_04665.wav,features\negative\neg_04665.npy
pos_02344_Siren_8_snr-5dB.wav,1,train,-5.0,Siren_8,2,clips\positive\pos_02344_Siren_8_snr-5dB.wav,features\positive\pos_02344_Siren_8_snr-5dB.npy
pos_01213_Siren_2_snr+0dB.wav,1,train,0.0,Siren_2,2,clips\positive\pos_01213_Siren_2_snr+0dB.wav,features\positive\pos_01213_Siren_2_snr+0dB.npy
pos_03017_Siren_7_snr+5dB.wav,1,train,5.0,Siren_7,2,clips\positive\pos_03017_Siren_7_snr+5dB.wav,features\positive\pos_03017_Siren_7_snr+5dB.npy
neg_01746.wav,0,train,,,2,clips\negative\neg_01746.wav,features\negative\neg_01746.npy
neg_04385.wav,0,train,,,2,clips\negative\neg_04385.wav,features\negative\neg_04385.npy
pos_03455_Siren_5_snr+20dB.wav,1,train,20.0,Siren_5,2,clips\positive\pos_03455_Siren_5_snr+20dB.wav,features\positive\pos_03455_Siren_5_snr+20dB.npy
pos_01740_Siren_5_snr+20dB.wav,1,train,20.0,Siren_5,2,clips\positive\pos_01740_Siren_5_snr+20dB.wav,features\positive\pos_01740_Siren_5_snr+20dB.npy
neg_03820.wav,0,train,,,2,clips\negative\neg_03820.wav,features\negative\neg_03820.npy
neg_00198.wav,0,train,,,2,clips\negative\neg_00198.wav,features\negative\neg_00198.npy
pos_05156_Siren_6_snr+10dB.wav,1,train,10.0,Siren_6,2,clips\positive\pos_05156_Siren_6_snr+10dB.wav,features\positive\pos_05156_Siren_6_snr+10dB.npy
neg_03762.wav,0,train,,,2,clips\negative\neg_03762.wav,features\negative\neg_03762.npy
pos_03437_Siren_7_snr+5dB.wav,1,train,5.0,Siren_7,2,clips\positive\pos_03437_Siren_7_snr+5dB.wav,features\positive\pos_03437_Siren_7_snr+5dB.npy
pos_00732_Siren_1_snr+5dB.wav,1,train,5.0,Siren_1,2,clips\positive\pos_00732_Siren_1_snr+5dB.wav,features\positive\pos_00732_Siren_1_snr+5dB.npy
pos_03704_Siren_4_snr-5dB.wav,1,train,-5.0,Siren_4,2,clips\positive\pos_03704_Siren_4_snr-5dB.wav,features\positive\pos_03704_Siren_4_snr-5dB.npy
neg_06658.wav,0,train,,,2,clips\negative\neg_06658.wav,features\negative\neg_06658.npy
pos_04091_Siren_4_snr+10dB.wav,1,train,10.0,Siren_4,2,clips\positive\pos_04091_Siren_4_snr+10dB.wav,features\positive\pos_04091_Siren_4_snr+10dB.npy
pos_06884_Siren_6_snr-5dB.wav,1,train,-5.0,Siren_6,2,clips\positive\pos_06884_Siren_6_snr-5dB.wav,features\positive\pos_06884_Siren_6_snr-5dB.npy
pos_00708_Siren_3_snr+0dB.wav,1,train,0.0,Siren_3,2,clips\positive\pos_00708_Siren_3_snr+0dB.wav,features\positive\pos_00708_Siren_3_snr+0dB.npy
pos_06717_Siren_8_snr+5dB.wav,1,train,5.0,Siren_8,2,clips\positive\pos_06717_Siren_8_snr+5dB.wav,features\positive\pos_06717_Siren_8_snr+5dB.npy
neg_02802.wav,0,train,,,2,clips\negative\neg_02802.wav,features\negative\neg_02802.npy
neg_04388.wav,0,train,,,2,clips\negative\neg_04388.wav,features\negative\neg_04388.npy
pos_01688_Siren_1_snr+0dB.wav,1,train,0.0,Siren_1,2,clips\positive\pos_01688_Siren_1_snr+0dB.wav,features\positive\pos_01688_Siren_1_snr+0dB.npy
neg_05775.wav,0,train,,,2,clips\negative\neg_05775.wav,features\negative\neg_05775.npy
pos_01983_Siren_5_snr+0dB.wav,1,train,0.0,Siren_5,2,clips\positive\pos_01983_Siren_5_snr+0dB.wav,features\positive\pos_01983_Siren_5_snr+0dB.npy
