epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.6894,1.38607,4.27639,0.00308,0.00819,0.23026,0.03853,0.03129,1.01326,3.53673,0.00364,0.000295231,0.000295231,0.000295231
2,122.961,1.32077,2.72637,0.00292,0.95317,0.05179,0.1508,0.10991,1.02936,2.45645,0.00375,0.000592308,0.000592308,0.000592308
3,144.063,1.28741,2.16718,0.00279,0.86468,0.15836,0.18142,0.12905,1.00123,1.66836,0.00371,0.000883386,0.000883386,0.000883386
4,169.349,1.24356,1.96635,0.00272,0.90034,0.1915,0.22928,0.17148,0.95767,1.32532,0.00341,0.000882003,0.000882003,0.000882003
5,192.702,1.198,1.74681,0.00266,0.86102,0.23418,0.25809,0.18955,0.98133,1.18043,0.00354,0.000873004,0.000873004,0.000873004
6,221.475,1.16528,1.61886,0.00258,0.85487,0.2448,0.27519,0.20383,1.03305,1.1277,0.00371,0.000864004,0.000864004,0.000864004
7,245.066,1.15921,1.55122,0.00259,0.76291,0.26763,0.297,0.2198,0.98564,1.04952,0.00345,0.000855005,0.000855005,0.000855005
8,267.923,1.15716,1.47157,0.0026,0.74365,0.28319,0.29564,0.22419,0.91207,1.0469,0.00339,0.000846006,0.000846006,0.000846006
9,289.565,1.14371,1.41517,0.00253,0.77368,0.29892,0.31246,0.23087,0.95098,1.03164,0.00363,0.000837007,0.000837007,0.000837007
10,312.277,1.11157,1.35088,0.00243,0.78277,0.29804,0.31547,0.2348,0.90995,0.97287,0.00329,0.000828008,0.000828008,0.000828008
11,333.724,1.10028,1.27739,0.00241,0.73311,0.30471,0.31883,0.23973,0.89755,0.95925,0.00323,0.000819009,0.000819009,0.000819009
12,355.064,1.09951,1.23195,0.00239,0.74585,0.33915,0.32858,0.24932,0.90458,0.92081,0.00329,0.00081001,0.00081001,0.00081001
13,378.195,1.06619,1.19197,0.00234,0.80079,0.32639,0.36563,0.27997,0.89742,0.8632,0.00328,0.000801011,0.000801011,0.000801011
14,399.656,1.06278,1.11758,0.00229,0.81453,0.33111,0.37363,0.28718,0.88303,0.92482,0.00317,0.000792012,0.000792012,0.000792012
15,422.258,1.07368,1.06842,0.00227,0.64553,0.40246,0.39367,0.29632,0.91381,0.92378,0.00329,0.000783013,0.000783013,0.000783013
16,444.094,1.05984,1.03912,0.0023,0.69375,0.38793,0.41347,0.31617,0.92782,0.86455,0.00343,0.000774013,0.000774013,0.000774013
17,465.21,1.06892,1.01397,0.0023,0.64891,0.4092,0.43258,0.32498,0.9356,0.83853,0.00339,0.000765014,0.000765014,0.000765014
18,488.939,1.06668,1.00659,0.00231,0.6259,0.41854,0.44096,0.33243,0.93703,0.85553,0.00353,0.000756015,0.000756015,0.000756015
19,509.673,1.09295,0.96908,0.00229,0.49354,0.46016,0.45326,0.34953,0.86422,0.79549,0.00313,0.000747016,0.000747016,0.000747016
20,531.57,1.03207,0.93739,0.0022,0.50341,0.40738,0.43712,0.33919,0.84195,0.79783,0.00304,0.000738017,0.000738017,0.000738017
21,553.85,1.06328,0.91885,0.00224,0.43927,0.50539,0.44203,0.3427,0.83369,0.78706,0.00296,0.000729018,0.000729018,0.000729018
22,574.815,1.02728,0.89861,0.00216,0.65815,0.42238,0.41636,0.31991,0.86382,0.82755,0.00307,0.000720019,0.000720019,0.000720019
23,596.606,1.05821,0.91036,0.00222,0.55881,0.41304,0.45561,0.35639,0.86159,0.8018,0.00311,0.00071102,0.00071102,0.00071102
24,618.914,1.03559,0.88024,0.00223,0.54276,0.42012,0.44728,0.34609,0.86799,0.76066,0.00311,0.000702021,0.000702021,0.000702021
25,640.247,1.03616,0.85947,0.00218,0.54283,0.47755,0.46441,0.36008,0.84407,0.76945,0.00299,0.000693022,0.000693022,0.000693022
26,663.514,1.0244,0.84475,0.00218,0.58143,0.43326,0.46064,0.35219,0.84472,0.8336,0.0031,0.000684022,0.000684022,0.000684022
27,684.837,1.02444,0.82812,0.00213,0.50085,0.46185,0.47275,0.36004,0.86417,0.81099,0.0032,0.000675023,0.000675023,0.000675023
28,704.755,1.00074,0.80618,0.00217,0.51168,0.49838,0.47507,0.35915,0.87008,0.78429,0.00312,0.000666024,0.000666024,0.000666024
29,727.469,1.00979,0.80773,0.00213,0.67849,0.40371,0.47239,0.36557,0.83858,0.77079,0.00296,0.000657025,0.000657025,0.000657025
30,748.469,1.02025,0.80573,0.00208,0.55746,0.4797,0.49974,0.39222,0.85213,0.75584,0.00306,0.000648026,0.000648026,0.000648026
31,769.604,1.00337,0.79104,0.00214,0.58074,0.45062,0.50103,0.39014,0.83153,0.75093,0.00296,0.000639027,0.000639027,0.000639027
32,793.085,1.00682,0.77436,0.0021,0.55508,0.43185,0.47673,0.36867,0.83841,0.76782,0.00298,0.000630028,0.000630028,0.000630028
33,813.518,1.00001,0.76405,0.00213,0.51069,0.45623,0.46883,0.36303,0.85177,0.79518,0.00301,0.000621029,0.000621029,0.000621029
34,834.379,0.99231,0.75694,0.00208,0.56225,0.4983,0.49349,0.38644,0.83973,0.7405,0.00309,0.00061203,0.00061203,0.00061203
35,857.37,0.99968,0.74531,0.00204,0.53863,0.50271,0.51848,0.40555,0.82579,0.72335,0.00292,0.000603031,0.000603031,0.000603031
36,877.645,0.97467,0.73364,0.00203,0.53044,0.51771,0.50596,0.40044,0.82829,0.73679,0.00295,0.000594031,0.000594031,0.000594031
37,899.347,0.9814,0.72628,0.00201,0.58436,0.44775,0.48062,0.37983,0.8215,0.72902,0.00296,0.000585032,0.000585032,0.000585032
38,921.449,1.01924,0.75345,0.00213,0.57548,0.50014,0.51847,0.40885,0.85527,0.74363,0.00303,0.000576033,0.000576033,0.000576033
39,942.647,0.95988,0.70569,0.00197,0.68476,0.43695,0.52753,0.41427,0.83211,0.76151,0.00298,0.000567034,0.000567034,0.000567034
40,964.622,0.97042,0.71616,0.00198,0.51664,0.48549,0.52287,0.41654,0.81048,0.71184,0.00287,0.000558035,0.000558035,0.000558035
41,986.324,0.97008,0.71102,0.00201,0.52764,0.52291,0.51421,0.40276,0.82173,0.76203,0.00296,0.000549036,0.000549036,0.000549036
42,1006.84,0.97742,0.6996,0.00201,0.71487,0.41782,0.51464,0.40385,0.82896,0.73753,0.00294,0.000540037,0.000540037,0.000540037
43,1029.12,1.00279,0.69034,0.00203,0.56427,0.50532,0.52459,0.40738,0.84483,0.70936,0.00301,0.000531038,0.000531038,0.000531038
44,1050.35,0.95865,0.67227,0.00198,0.54783,0.48095,0.50866,0.39918,0.83226,0.69716,0.00297,0.000522039,0.000522039,0.000522039
45,1070.3,0.95686,0.68102,0.00203,0.58425,0.46112,0.51944,0.41108,0.81606,0.69807,0.00289,0.00051304,0.00051304,0.00051304
46,1092.4,0.96474,0.66933,0.00197,0.57136,0.472,0.50177,0.3978,0.81363,0.70247,0.00288,0.00050404,0.00050404,0.00050404
47,1113.22,0.97667,0.67859,0.00195,0.55124,0.46682,0.5083,0.4002,0.82681,0.83352,0.00292,0.000495041,0.000495041,0.000495041
48,1134.16,0.99125,0.68919,0.00201,0.55009,0.50629,0.52284,0.40809,0.84829,0.69715,0.00308,0.000486042,0.000486042,0.000486042
49,1155.66,0.95515,0.65545,0.00197,0.60961,0.46258,0.51982,0.40709,0.85546,0.70352,0.003,0.000477043,0.000477043,0.000477043
50,1176.4,0.95449,0.64983,0.00195,0.58182,0.46767,0.51156,0.39779,0.82665,0.74476,0.00292,0.000468044,0.000468044,0.000468044
51,1196.81,0.94952,0.65061,0.00197,0.54941,0.50407,0.50728,0.39506,0.82969,0.72209,0.00295,0.000459045,0.000459045,0.000459045
52,1218.75,0.94226,0.65679,0.00196,0.58094,0.44844,0.5026,0.39091,0.83852,0.75481,0.00295,0.000450046,0.000450046,0.000450046
53,1238.85,0.96596,0.63782,0.00195,0.55761,0.44851,0.50591,0.39959,0.81335,0.70551,0.00283,0.000441047,0.000441047,0.000441047
54,1259.75,0.9322,0.61852,0.00191,0.58864,0.52492,0.52804,0.41386,0.82176,0.68707,0.00294,0.000432048,0.000432048,0.000432048
55,1281.83,0.95857,0.64598,0.00192,0.5006,0.55552,0.52508,0.41201,0.80546,0.72135,0.00285,0.000423049,0.000423049,0.000423049
56,1301.73,0.94287,0.63178,0.00195,0.56974,0.48135,0.51412,0.40506,0.81523,0.72976,0.00283,0.000414049,0.000414049,0.000414049
57,1322.68,0.97152,0.63575,0.00192,0.55255,0.46831,0.51981,0.40145,0.8321,0.68454,0.00289,0.00040505,0.00040505,0.00040505
58,1344.33,0.93156,0.6195,0.00186,0.49755,0.53288,0.51172,0.40184,0.80884,0.69637,0.00283,0.000396051,0.000396051,0.000396051
59,1363.97,0.93519,0.59815,0.00189,0.52126,0.48098,0.52367,0.41393,0.80703,0.69306,0.00281,0.000387052,0.000387052,0.000387052
60,1385.22,0.92314,0.61792,0.00191,0.52541,0.50877,0.51512,0.40779,0.80792,0.71177,0.00281,0.000378053,0.000378053,0.000378053
